2010,0,Hombres,81,5871
2019,13,Hombres,50,112
2020,13,Hombres,62,186
2002,20,Mujeres,85,165
1979,31,Hombres,1,190
2004,20,Hombres,82,184
2015,26,Mujeres,76,152
2017,0,Mujeres,88,6416
1995,8,Hombres,60,109
1987,8,Hombres,73,103
2019,0,Mujeres,105,150
1992,9,Hombres,61,350
2008,27,Hombres,74,100
2014,24,Hombres,90,122
2011,12,Mujeres,83,210
1970,4,Hombres,0,568
1976,9,Mujeres,84,293
1994,14,Hombres,45,127
2013,2,Mujeres,77,123
1951,0,Hombres,30,1559
1977,26,Mujeres,1,177
2014,30,Hombres,30,174
1985,21,Mujeres,0,2975
2017,24,Mujeres,61,112
1984,11,Hombres,65,126
1979,15,Hombres,13,105
2017,32,Hombres,85,108
2019,16,Hombres,44,118
1970,9,Mujeres,86,219
2020,9,Mujeres,81,863
1998,20,Mujeres,0,1256
2009,15,Mujeres,97,153
1972,0,Hombres,87,989
2002,30,Mujeres,53,153
2002,15,Mujeres,55,234
2019,0,Hombres,96,1861
2001,30,Hombres,87,223
1990,0,Hombres,99,236
2011,13,Mujeres,78,160
1995,14,Mujeres,89,234
1995,19,Mujeres,69,137
2020,11,Hombres,65,348
2004,20,Mujeres,0,957
1984,21,Mujeres,67,131
2010,11,Mujeres,69,218
2009,20,Mujeres,57,102
2005,11,Hombres,57,142
2014,12,Hombres,83,227
2016,26,Mujeres,62,111
2009,28,Hombres,50,113
2007,0,Hombres,37,2217
1993,20,Hombres,73,149
2009,16,Hombres,65,216
2009,13,Mujeres,75,143
1995,9,Hombres,86,261
2003,11,Mujeres,64,135
1966,0,Hombres,10,1019
2001,0,Hombres,5,439
2004,0,Hombres,51,2828
1993,11,Mujeres,69,152
2007,7,Hombres,81,153
2011,13,Hombres,58,116
1988,15,Mujeres,53,143
2007,21,Mujeres,87,246
2015,9,Mujeres,81,769
1987,30,Hombres,50,183
1996,11,Hombres,86,147
2011,21,Mujeres,0,1063
2017,31,Mujeres,79,142
1999,19,Hombres,60,144
2004,9,Hombres,43,224
2007,0,Mujeres,15,425
1962,0,Mujeres,88,587
2002,7,Hombres,75,144
1989,9,Mujeres,95,111
1953,0,Mujeres,41,1147
1988,15,Hombres,84,187
2020,31,Mujeres,81,154
2019,19,Hombres,31,119
2004,21,Hombres,40,100
1977,9,Hombres,44,220
1990,0,Mujeres,62,2327
1979,16,Mujeres,74,124
2009,0,Mujeres,14,400
2020,0,Mujeres,99,1475
2014,11,Hombres,78,313
2019,30,Mujeres,86,618
2015,11,Hombres,58,254
1987,8,Hombres,67,101
1998,0,Mujeres,50,1516
2009,5,Hombres,76,143
1982,0,Mujeres,0,51389
2019,2,Mujeres,68,150
1998,8,Mujeres,79,107
1986,9,Hombres,80,314
1993,14,Hombres,54,160
2011,9,Mujeres,73,569
2010,12,Mujeres,62,114
1999,25,Hombres,69,120
1982,26,Mujeres,0,844
2014,15,Hombres,65,759
2004,15,Mujeres,53,228
1986,20,Hombres,81,118
1981,10,Hombres,0,1254
2001,30,Hombres,55,246
1966,0,Mujeres,23,890
2018,15,Hombres,54,730
1991,15,Hombres,65,306
2016,21,Hombres,34,128
2008,30,Mujeres,90,303
1999,12,Mujeres,73,132
1984,0,Hombres,20,1678
1967,0,Mujeres,24,897
2017,21,Hombres,76,383
1997,20,Mujeres,69,143
2018,12,Mujeres,70,216
1994,12,Hombres,73,113
1975,31,Hombres,1,267
1991,12,Mujeres,78,104
1974,30,Hombres,37,167
1997,30,Mujeres,53,153
1977,0,Hombres,13,1026
1978,15,Hombres,0,7360
1977,15,Mujeres,76,186
2014,12,Hombres,52,135
1987,0,Mujeres,101,131
2012,31,Mujeres,81,121
1981,30,Hombres,3,254
1995,9,Hombres,75,406
1984,11,Mujeres,66,109
2019,24,Hombres,87,174
2015,21,Mujeres,92,256
2013,24,Hombres,91,104
1983,12,Hombres,3,111
2015,15,Mujeres,55,493
1965,0,Mujeres,7,1635
1968,0,Hombres,50,1701
2017,27,Hombres,75,142
2020,30,Mujeres,97,195
1996,14,Hombres,77,277
1970,11,Mujeres,75,102
2016,9,Hombres,51,372
2006,0,Hombres,24,1669
1987,15,Mujeres,53,139
1987,0,Hombres,89,1545
1982,0,Hombres,93,634
1986,2,Mujeres,0,569
2018,17,Mujeres,78,154
1970,21,Mujeres,70,132
2018,5,Hombres,58,164
1971,30,Hombres,40,172
2011,15,Mujeres,74,633
1985,21,Hombres,76,165
1971,30,Hombres,74,217
1986,14,Hombres,24,107
1985,30,Mujeres,57,149
1991,30,Hombres,82,244
1973,0,Mujeres,96,199
2013,21,Hombres,74,333
2018,20,Hombres,61,226
1997,19,Mujeres,67,129
2014,9,Mujeres,0,530
2010,13,Hombres,62,124
1999,15,Mujeres,40,134
1999,30,Hombres,49,199
2014,16,Hombres,44,111
2004,7,Hombres,69,152
2012,30,Mujeres,76,513
2018,7,Mujeres,49,100
2001,0,Mujeres,21,502
2014,14,Mujeres,47,124
2008,28,Hombres,60,130
1991,30,Mujeres,83,260
2015,28,Hombres,81,206
2016,0,Mujeres,95,2998
2020,11,Mujeres,88,312
2015,0,Hombres,100,606
1986,9,Hombres,15,103
1972,15,Mujeres,64,144
2014,28,Hombres,75,210
1992,0,Mujeres,66,2768
2010,20,Hombres,59,162
1997,18,Mujeres,0,258
1997,9,Mujeres,63,326
1994,0,Hombres,60,3159
1970,16,Hombres,73,126
1978,30,Hombres,14,107
1958,0,Mujeres,18,762
2018,20,Mujeres,93,192
1991,20,Hombres,74,138
2012,7,Mujeres,63,136
2014,7,Mujeres,62,145
2015,2,Hombres,44,104
1972,21,Mujeres,63,119
1972,9,Hombres,14,112
2017,26,Hombres,70,188
2011,30,Hombres,46,243
2010,30,Mujeres,66,350
2014,26,Hombres,62,152
2012,15,Mujeres,79,712
2011,32,Hombres,75,105
2020,11,Mujeres,97,120
1967,0,Mujeres,28,973
1981,19,Hombres,68,114
1971,9,Hombres,73,304
